City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Sinop,TR,41.77,34.87,64.83,31,0,5.57,clear sky
166,Cabedelo,BR,-6.98,-34.83,75.2,94,78,5.82,broken clouds
167,Tuy Hoa,VN,13.08,109.3,81.43,74,82,10.22,broken clouds
168,Torbay,CA,47.67,-52.73,59.0,76,75,16.11,broken clouds
169,Geraldton,AU,-28.77,114.6,51.8,93,90,4.7,overcast clouds
170,Port Elizabeth,ZA,-33.92,25.57,55.4,82,1,10.29,light rain
171,Torbat-E Jam,IR,35.24,60.62,61.84,31,0,13.44,clear sky
172,Fortuna,US,40.6,-124.16,64.0,77,1,16.11,clear sky
173,Kilindoni,TZ,-7.91,39.67,76.21,80,77,12.97,broken clouds
174,Mount Isa,AU,-20.73,139.5,75.2,22,0,17.22,clear sky
175,Ron Phibun,TH,8.18,99.85,78.8,94,20,3.6,few clouds
176,Kapit,MY,2.02,112.93,77.31,91,95,0.2,overcast clouds
177,Naze,JP,28.37,129.48,86.0,89,20,10.29,few clouds
178,Pimenta Bueno,BR,-11.67,-61.19,89.06,33,85,1.21,overcast clouds
179,Algiers,DZ,36.75,3.04,73.4,83,0,3.36,clear sky
180,Talnakh,RU,69.49,88.4,53.6,71,56,11.18,broken clouds
181,Isla Mujeres,MX,21.23,-86.73,87.8,74,40,13.87,scattered clouds
182,Pacific Grove,US,36.62,-121.92,70.0,60,1,10.29,clear sky
183,Xining,CN,36.62,101.77,58.17,74,100,5.97,moderate rain
184,Porto Novo,BJ,6.5,2.6,77.0,88,75,12.75,broken clouds
185,Port Hedland,AU,-20.32,118.57,71.6,46,14,4.7,few clouds
186,Riohacha,CO,11.54,-72.91,84.51,72,2,12.01,clear sky
187,Port Lincoln,AU,-34.73,135.87,62.06,45,0,22.26,clear sky
188,Peniche,PT,39.36,-9.38,66.99,78,39,10.0,scattered clouds
189,Ugoofaaru,MV,5.67,73.0,83.03,70,71,10.89,broken clouds
190,Gat,IL,31.61,34.76,79.0,24,0,2.42,clear sky
191,Nouadhibou,MR,20.93,-17.03,77.0,88,75,6.93,broken clouds
192,Salar,ES,37.15,-4.02,79.0,47,29,6.93,scattered clouds
193,Isangel,VU,-19.55,169.27,79.5,72,23,12.1,few clouds
194,Escarcega,MX,18.61,-90.75,80.33,89,99,3.36,overcast clouds
195,Victoria,HK,22.29,114.16,86.0,79,60,3.89,broken clouds
196,Aklavik,CA,68.22,-135.01,55.4,54,40,6.93,scattered clouds
197,Jurm,AF,36.86,70.83,55.36,57,0,0.36,clear sky
198,Bengkulu,ID,-3.8,102.27,76.39,81,94,5.26,overcast clouds
199,Ambilobe,MG,-13.2,49.05,63.48,82,13,4.56,few clouds
200,Ondangwa,NA,-17.92,15.95,64.4,42,6,4.7,clear sky
