City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Padang,ID,77.74,overcast clouds,-0.95,100.35,Mercure Padang
295,Carpinteria,US,88.0,clear sky,34.4,-119.52,Holiday Inn Express & Suites Carpinteria
301,Acara,BR,74.23,broken clouds,-1.96,-48.2,Hotel e Restaurante Zé da Bebé
304,Lat Yao,TH,77.43,broken clouds,15.75,99.79,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
308,Caninde De Sao Francisco,BR,70.29,broken clouds,-9.66,-37.79,Inn Old Trail Chico
310,Idlib,SY,78.8,clear sky,35.93,36.63,مركز تسيل للتجميل
312,Sao Filipe,CV,80.4,moderate rain,14.9,-24.5,Tortuga B&B
316,Hasaki,JP,88.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
318,Matay,EG,76.71,clear sky,28.42,30.78,Nag Aespen
319,Ilebo,CD,73.49,scattered clouds,-4.32,20.58,Hôtel des palmes
321,Eugene,US,87.8,clear sky,44.05,-123.09,Valley River Inn
322,Grammichele,IT,75.99,clear sky,37.21,14.64,Valle Verde Di Paolo E Maria Teresa Filia Snc
324,Brainerd,US,71.6,few clouds,46.36,-94.2,Holiday Inn Express & Suites Brainerd-Baxter
325,Anori,BR,77.29,light rain,-3.77,-61.64,Novo Hotel 05 Irmaos
326,Bonthe,SL,76.32,light rain,7.53,-12.51,Bonthe Holiday Village
327,Fayaoue,NC,72.5,broken clouds,-20.65,166.53,Chez Dydyce Guesthouse
332,Guerrero Negro,MX,83.05,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
334,Tigzirt,DZ,80.76,clear sky,36.89,4.12,Appartement de la plage
335,Miranda,CO,77.0,broken clouds,3.25,-76.23,Parqueadero toño lasso
338,Eston,CA,75.2,broken clouds,51.15,-108.75,Hearthside Place B&B
339,Saint Anthony,US,79.0,few clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
340,Dajabon,DO,82.99,clear sky,19.55,-71.71,Hotel Brisol
341,Alofi,NU,80.6,overcast clouds,-19.06,-169.92,Taloa Heights
342,Pilar,BR,73.4,few clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
345,Sibolga,ID,76.19,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
349,Hamilton,US,79.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
350,Dubai,AE,95.0,broken clouds,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
353,Upata,VE,82.0,scattered clouds,8.01,-62.4,Posada Villa Nela
354,Miandrivazo,MG,77.61,broken clouds,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
357,Gorontalo,ID,81.81,scattered clouds,0.54,123.06,Maqna Hotel by Prasanthi
358,Dyersburg,US,78.8,broken clouds,36.03,-89.39,Hampton Inn Dyersburg
360,Elizabeth City,US,84.2,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
361,Faanui,PF,76.35,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
362,Mayfield Heights,US,71.6,moderate rain,41.52,-81.46,Hilton Garden Inn Cleveland East/Mayfield Village
363,Nhulunbuy,AU,80.6,broken clouds,-12.23,136.77,East Arnhem Real Estate
368,Sabang,ID,83.44,light rain,5.89,95.32,Hotel Citra
371,Springdale,US,91.4,clear sky,36.19,-94.13,Springdale Inn
372,Craig,US,84.2,clear sky,40.52,-107.55,Candlewood Suites Craig-Northwest
373,Labuan,MY,77.0,few clouds,5.28,115.24,Tiara Labuan Hotel
376,Touros,BR,75.2,clear sky,-5.2,-35.46,INN NEW HORIZON
378,Palakollu,IN,77.14,light rain,16.53,81.73,SRC Residency
379,Fomboni,KM,76.19,scattered clouds,-12.28,43.74,Auberge les abou
380,Almansa,ES,75.99,few clouds,38.87,-1.1,Hotel Blu
382,Sijunjung,ID,73.6,overcast clouds,-0.69,100.95,Hotel Bukik Gadang
385,Bassila,BJ,70.25,overcast clouds,9.01,1.67,COMPLEXE MAKOYA ET FILS
386,Tabou,CI,75.6,broken clouds,4.42,-7.35,hotêl doufoulougou
387,Axim,GH,74.21,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
389,Kindu,CD,72.88,scattered clouds,-2.95,25.95,Hotel Karibu
390,Los Alamos,US,91.4,scattered clouds,35.89,-106.31,Holiday Inn Express & Suites Los Alamos Entrada Park
391,Araguacu,BR,79.77,broken clouds,-12.93,-49.83,Brunas Park Hotel
392,Kismayo,SO,77.07,scattered clouds,-0.36,42.55,Agan-Hotel
394,Cayenne,GF,78.8,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
397,Bani,DO,86.0,light rain,18.28,-70.33,Hospedaje Henriquez
399,Ewa Beach,US,89.6,scattered clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
400,Barquisimeto,VE,89.6,clear sky,10.07,-69.32,POSADA PARAISO DE LARA CA
401,Tukrah,LY,75.43,clear sky,32.53,20.58,استراحة لاقروتا
402,Manaure,CO,86.49,scattered clouds,11.78,-72.44,Del mar vendra
406,Kahului,US,91.4,few clouds,20.89,-156.47,Maui Seaside Hotel
407,Alta Floresta,BR,81.84,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
410,Concepcion Del Oro,MX,79.38,broken clouds,24.63,-101.42,HOTEL HACIENDA SAN JAVIER
411,Vanimo,PG,78.12,heavy intensity rain,-2.67,141.3,Vahmoneh Lodge Vanimo
413,Mirador,BR,78.12,few clouds,-6.37,-44.36,Pousada Casa Nova
415,Racale,IT,75.99,clear sky,39.96,18.09,Albergo Vittoria
418,Port Blair,IN,81.91,overcast clouds,11.67,92.75,Fortune Resort Bay Island
420,Puerto Escondido,MX,73.4,light rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
